Breed,brd,lat,
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Lt,IC
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,Ab
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
TB,TB,Rt,IC
WB,WB,Bilat,"R-IC, L-IC"
WB,WB,Rt,IC
